feature,weight,feat_desc,result_desc,fpk1,fpk2,odds_ratio,sum1,sum2,sig,top1,top2,egs1,egs2,feat_type,feat_name
deprel_mark,0.38309394494541815,Marker,Markers are 1.5x more common in Philosophy than Literature.,49.1,32.5,1.5,123352.0,26175.0,***,to that if as of for in by because whether since while though although than without about so from on such once before whereas with,to that as if of in by because for while though than whether although since so before without from after with once about whereas on,"""that are useful TO compare the logical"" ""Thirdly, we note THAT the elementary"" ""IF this new perspective"" ""definitions in CL, AS follows"" ""defined as a class OF preparing devices""","""The books TO be read are selected"" ""The fact THAT American literature"" ""such curricula, AS it did at Washington"" ""But IF this metareflection"" ""irrespective OF whether or not""",deprel,mark
deprel_det:predet,0.3489360377399378,Predeterminer,Predeterminers are 1.2x more common in Philosophy than Literature.,1.2,1.0,1.2,3067.0,811.0,***,such all both quite either half whatever neither what each next regards nary,all such both what quite half either neither whatever each many nary,"""property, while SUCH a set can not be"" ""responsible for ALL the data that instantiate"" ""that encompasses BOTH practical and theoretical"" ""interesting facts QUITE another, and the"" ""EITHER position appears""","""soft landing ALL the same, as the"" ""coincide, in SUCH a way that they"" ""Yet BOTH these features"" ""WHAT a story"" ""fact, he makes QUITE the opposite claim""",deprel,det:predet
pos_DT,0.31906834821568114,Determiner,Determiners are 1.0x more common in Literature than Philosophy.,100.1,101.0,1.0,251587.0,81282.0,*,the a this an that some these all no any those each another every both either neither anothers thats anyones ‐be aa –this th n,the a this an that these all no some those any another each both every neither either thee whatsoever thy anothers whiche yonder th tothe,"""induced by T. THE triple (< / >v"" ""choosing, for A given theory T"" ""THIS procedure consists"" ""expressing T, AN observative sublanguage"" ""basic elements, THAT is, T, L and""","""mean that after THE twenties American"" ""especially as A result of the second"" ""In THIS era of flux, American"" ""Sweet took AN A.B"" ""as part of THAT push, the college""",pos,DT
pos_FW,0.29270105495987325,Foreign word,Foreign words are 5.6x more common in Philosophy than Literature.,1.0,0.2,5.6,2610.0,149.0,***,e.g. i.e. i.e etc e.g etc. eds. cf c. pp. cf. viz. ed. esp. i.e.. i. q.v. ca. resp. cp. clearly ie then a. eg.,"e.g. etc etc. i.e. pp. ed. , i.e esp. eds. ca. ibid. e.g asap bk. cf wer nt","""E.G. I expect that I"" ""modern physics, I.E., classical mechanics"" ""dependence — I.E"" ""of digits, ETC...), and that"" ""properties (E.G""","""social arena (E.G., Sanders"" ""proud, modest, ETC, and the Swiss"" ""orthography, ETC"" ""correctly   (I.E., heteronormatively"" ""vacillate wildly (PP. Many are seduced""",pos,FW
pos_-RRB-,0.2627186901684046,Right parenthesis,Right parenthesiss are 1.5x more common in Philosophy than Literature.,6.1,4.1,1.5,15445.0,3270.0,***,) ] > } >m \ >> >. /? =? |ψ ?) ]t >v '->q '¡/ p> +i />! /;) ->-e >>? >ß .t. .),) ] [. > [.. .– ^ '. ?!) ́ .' i.,"""with certainty), defining a physical"" ""face of [vor"" ""G £ U Sf I > ext (A) G ¿"" ""p (~ G/D)"" ""depends on </ >M, because of course""","""Spoken English  ), Drama, and other"" ""the village] takes pride"" ""der Gegenwart"" ""gallica.bnf.fr >) and Google Book"" ""di alabastro""",pos,-RRB-
deprel_cop,0.2593694380054502,Copula,Copulas are 1.6x more common in Philosophy than Literature.,27.4,17.0,1.6,68856.0,13652.0,***,is are be being was were 's am been s 'm r 're m isnt re thats can does \ arent im = will hes,is are was be were been being 's am 're s 'd 'm r m re t ai 'e wes im le can ys tis,"""following statement IS then straightforward"" ""statements that ARE useful to compare"" ""To BE precise, we intend"" ""responsible, but BEING responsible also"" ""evolutionary selection WAS at best random""","""particular institutions IS immaterial since"" ""to al - Tiba ARE most often those"" ""the mid-nineties WAS indeed representative"" ""decades tended to BE in the   West"" ""because they WERE permanent, by""",deprel,cop
pos_HYPH,0.24883047512489087,Hyphen,Hyphens are 1.3x more common in Philosophy than Literature.,6.0,4.7,1.3,15067.0,3816.0,***,"- / ?- ‐ { © ¬ -» — -à- t- ψ- *- л- φ /-- ~ ^- !- > w// –to ô , -th","- , — ; .e © / ‐ -- ... -/ ]n 'd -"" ť -in { -e :ll ‐to 'r hy","""derived and theory - dependent notion"" ""mean that p(I / M) is also very"" ""ix? Cm. A?- term without free"" ""worse, self ‐ serving) purposes"" ""where the hole { } has been replaced""","""order   as small - town America"" ""actif et moderne, mais de saisir"" ""fort bien m acqu — rir un jour autant"" ""change jamais; aussi un esprit"" ""perverse libertinage.E propagation of""",pos,HYPH
deprel_compound,0.2419053179200571,Compound,Compounds are 1.1x more common in Philosophy than Literature.,21.7,20.6,1.1,54622.0,16608.0,***,self truth order decision level belief knowledge time university state probability set quantum world model type theory color ones material context subject background sense brain,self century world class e material language life state gender post war living reading family working ing art con writing time identity university film subject,"""of arising and SELF - concealing"" ""every aGl, TRUTH assignment vff"" ""about first - ORDER standards"" ""recommendations of causal DECISION theory"" ""barrier to high - LEVEL perception, then""","""a matter of SELF - fashioning in"" ""nineteenth - CENTURY Europe"" ""of the second WORLD War"" ""exclusiveness of CLASS affiliation, material"" ""Palimpsestic Memory : E Holocaust and Colonialism""",deprel,compound
pos_EX,0.2367199630741889,Existential there,Existential theres are 2.6x more common in Philosophy than Literature.,3.1,1.2,2.6,7820.0,977.0,***,there,there their,"""property, then THERE is no reason to""","""instruction argued that THERE were barely enough"" ""you the love THEIR is in me for you""",pos,EX
deprel_nsubj:pass,0.21193127716744561,Passive nominal subject,Passive nominal subjects are 1.2x more common in Philosophy than Literature.,9.0,7.8,1.2,22671.0,6270.0,***,that it they which we this one what i he who theory argument belief she beliefs notion knowledge conditions problem p information account view properties,it that they which he who we i she what this one work reader you words man text life references all much history attention these,"""disjunctive analysis THAT is more plausibly"" ""however, IT can be extended"" ""theories to which THEY were supposed to"" ""chunking effect, WHICH in turn is supposed"" ""is that, as WE con sidered earlier""","""But IT can not be called"" ""world of disorder THAT will be put to"" ""perpetrator, even if THEY are meant to overcome"" ""West,   WHICH, as Kermit Vanderbilt"" ""to real ize HE has been brainwashed""",deprel,nsubj:pass
