id,uuid,title,author,year,journal,volume,issue,url,publisher,discipline
phil/10.2307/40231690,f6eecd30-8c4a-3c3d-a9da-4e777d091b2c,"""Aristotlés"" Horror Vacui",John Thorp,1990,Canadian Journal of Philosophy,20,2,jstor.org/stable/10.2307/40231690,Cambridge University Press,Philosophy
phil/10.2307/40230399,aaff574b-da8a-389b-b82c-8bcfbf981a8e,"""None in Particular""",John Woods,1973,Canadian Journal of Philosophy,2,3,jstor.org/stable/10.2307/40230399,Cambridge University Press,Philosophy
phil/10.2307/40231533,9a99d15f-bbe2-349e-b5af-cf96fd35c6eb,"""Tractatus"" 2.022-2.023",Raymond D. Bradley,1987,Canadian Journal of Philosophy,17,2,jstor.org/stable/10.2307/40231533,Cambridge University Press,Philosophy
phil/10.2307/40230622,9af0da08-8130-3178-86cb-5df65d6fb0cd,"""Tractatus"" 5.54-5.5422",Eric B. Dayton,1976,Canadian Journal of Philosophy,6,2,jstor.org/stable/10.2307/40230622,Cambridge University Press,Philosophy
phil/10.2307/40231225,041ecb2f-f8ab-398e-a1df-8813eaffa841,"'Can,' Compatibilism, and Possible Worlds",Michael J. Zimmerman,1981,Canadian Journal of Philosophy,11,4,jstor.org/stable/10.2307/40231225,Cambridge University Press,Philosophy
phil/10.2307/40231417,79ad74e3-869d-3e8e-b77f-61bc85fda518,'Doing Business with the Gods',Steven A. M. Burns,1985,Canadian Journal of Philosophy,15,2,jstor.org/stable/10.2307/40231417,Cambridge University Press,Philosophy
phil/10.2307/40231425,77da2e7e-40ff-3e9d-aec7-e0eb24cbaf68,'Freedom and Desire',Richard J. Arneson,1985,Canadian Journal of Philosophy,15,3,jstor.org/stable/10.2307/40231425,Cambridge University Press,Philosophy
phil/10.2307/40231197,40327f0b-add8-3b45-82cc-4722a4f93c03,'Possible for' and 'Possible That',John Westwood,1981,Canadian Journal of Philosophy,11,2,jstor.org/stable/10.2307/40231197,Cambridge University Press,Philosophy
phil/10.2307/40231485,eb5d85b7-3295-343a-bfc8-04dc57ab17ec,'The Divine Sign Did Not Oppose Me': A Problem in Plato's Apology,"Thomas C. Brickhouse, Nicholas D. Smith",1986,Canadian Journal of Philosophy,16,3,jstor.org/stable/10.2307/40231485,Cambridge University Press,Philosophy
phil/10.2307/40231390,1e7bb751-56d0-3f2a-8320-32637e22cfa4,'The Meaning of Life': A Qualitative Perspective,James O. Bennett,1984,Canadian Journal of Philosophy,14,4,jstor.org/stable/10.2307/40231390,Cambridge University Press,Philosophy
phil/10.2307/26444358,d4269733-e62e-3014-9ea6-b78425bcb75b,'With a Philosophical Eye': the role of mathematical beauty in Kant's intellectual development,Courtney David Fugate,2014,Canadian Journal of Philosophy,44,5/6,jstor.org/stable/10.2307/26444358,Cambridge University Press,Philosophy
phil/10.2307/40231594,36426acf-3fd8-39f9-9bd6-9e192635467d,A Causal Theory of Experiential Fear,Wayne Davis,1988,Canadian Journal of Philosophy,18,3,jstor.org/stable/10.2307/40231594,Cambridge University Press,Philosophy
phil/10.2307/40231621,269bef55-a597-389e-901d-f433506696fd,A Challenge to Neo-Lockeanism,John E. Roemer,1988,Canadian Journal of Philosophy,18,4,jstor.org/stable/10.2307/40231621,Cambridge University Press,Philosophy
